11-12 MALE LCM,,,,,,,,,,,,,,,,
Event,50 FR,100 FR,200 FR,400 FR,800 FR,1500 FR,50 BK,100 BK,200 BK,50 BR,100 BR,200 BR,50 FL,100 FL,200 FL,200 IM,400 IM
AAAA,0:25.69,0:56.29,2:02.09,4:24.89,9:03.19,17:13.29,0:30.29,1:06.69,2:21.49,0:33.89,1:13.59,2:40.19,0:28.19,1:02.39,2:26.59,2:20.19,4:57.99
AAA,0:26.89,0:58.99,2:07.89,4:36.39,9:28.19,18:00.69,0:31.79,1:09.79,2:28.29,0:35.59,1:17.19,2:47.59,0:29.69,1:05.79,2:33.69,2:26.59,5:11.59
AA,0:28.19,1:01.69,2:13.69,4:47.89,9:53.19,18:48.09,0:33.39,1:12.89,2:35.09,0:37.19,1:20.79,2:54.99,0:31.09,1:09.19,2:40.79,2:32.99,5:25.19
A,0:29.49,1:04.39,2:19.49,4:59.39,10:18.19,19:35.39,0:34.89,1:15.99,2:41.89,0:38.89,1:24.49,3:02.39,0:32.59,1:12.59,2:47.89,2:39.39,5:38.79
BB,0:31.99,1:09.79,2:31.09,5:22.39,11:08.19,21:10.59,0:37.99,1:22.29,2:55.49,0:42.19,1:31.69,3:17.19,0:35.49,1:19.29,3:02.19,2:52.19,6:05.99
B,0:34.59,1:15.19,2:42.69,5:45.39,11:58.19,22:52.49,0:41.09,1:28.59,3:09.09,0:45.49,1:38.99,3:31.99,0:38.39,1:25.99,3:16.49,3:04.99,6:33.19
