11-12 MALE SCY,,,,,,,,,,,,,,,,,,
Event,50 FR,100 FR,200 FR,500 FR,1000 FR,1650 FR,50 BK,100 BK,200 BK,50 BR,100 BR,200 BR,50 FL,100 FL,200 FL,100 IM,200 IM,400 IM
AAAA,0:23.29,0:50.39,1:48.89,4:56.59,10:19.89,17:06.99,0:27.29,0:58.99,2:06.19,0:30.39,1:06.09,2:23.99,0:25.59,0:55.19,2:11.19,0:57.39,2:04.59,4:32.19
AAA,0:24.39,0:52.89,1:54.19,5:10.59,10:48.99,17:54.79,0:28.59,1:01.79,2:12.29,0:31.89,1:09.29,2:30.69,0:26.89,0:58.29,2:17.79,1:00.29,2:10.49,4:44.69
AA,0:25.49,0:55.29,1:59.49,5:24.59,11:18.09,18:42.59,0:29.89,1:04.59,2:18.39,0:33.39,1:12.49,2:37.39,0:28.19,1:01.39,2:24.29,1:03.19,2:16.49,4:57.09
A,0:26.59,0:57.79,2:04.79,5:38.69,11:47.09,19:30.39,0:31.19,1:07.39,2:24.49,0:34.89,1:15.69,2:44.09,0:29.49,1:04.49,2:30.89,1:06.09,2:22.39,5:09.59
BB,0:28.79,1:02.69,2:15.39,6:06.69,12:44.29,21:05.99,0:33.79,1:12.99,2:36.69,0:37.89,1:22.09,2:57.39,0:32.09,1:10.69,2:43.99,1:11.79,2:34.29,5:34.49
B,0:30.99,1:07.59,2:25.99,6:34.79,13:46.39,22:47.99,0:36.39,1:18.59,2:48.89,0:40.79,1:28.49,3:10.79,0:34.69,1:16.89,2:57.09,1:17.49,2:46.19,5:59.39
